PolledNickname,MatchedUsername,Level,Country,IsPayer
BB_Vanilla-Ice-Milk,BB_Vanilla-Ice-Milk,96,KR,1
Bcope,Bcope,110,US,1
Beanzy,Beanzy,110,GB,1
Becherovka,Becherovka,24,VE,0
bedibb,bedibb,54,PL,1
beefytender69,,,,0
Beerguzzlingslob,Beerguzzlingslob,102,US,1
BeetKiller,BeetKiller,25,CA,1
Beezy208,beezy208,101,,1
Behemothrav,Behemothrav,60,ID,1
Bennett Hamilton,,,,0
Benobi,Benobi,58,AU,1
bensix,bensix,20,BE,1
bestcatchyet,bestcatchyet,86,US,1
BestNiina,BestNiina,108,TH,1
BethanyATS,BethanyATS,86,US,1
Betterhunter157,betterhunter157,47,US,1
bgc616,,,,0
Bianek,Bianek,65,PL,1
Bibio_258,Bibio_258,6,HR,0
Big T,,,,0
BIG-7MM,BIG-7MM,77,AU,1
BigBassQc,BigBassQc,28,CA,1
BIGCOB,BIGCOB,67,US,1
bigduckenergy,BigDuckEnergy,4,US,0
BIgggyfishyyes,BIgggyfishyyes,22,US,1
BigKarasik555,BigKarasik555,69,UA,0
Bilby47,Bilby47,106,AU,1
billi.thea,billi.thea,88,ID,1
billy_herrington69,billy_herrington69,59,UA,1
BIRDOGNALO,BIRDOGNALO,57,IT,1
Biro23,Biro23,106,BR,1
bjorn.oremus,,,,0
BlackBassBuster64,BlackBassBuster64,95,US,1
BlackBassMachine,BlackBassMachine,30,AU,1
BlackEelSamurai,BlackEelSamurai,24,US,0
BlackGoku09,BlackGoku09,64,US,1
Blackmambasnakekill,blackmambasnakekill,83,US,1
BlackReefSaint,BlackReefSaint,58,ES,0
BlackyLuke,BlackyLuke,83,DE,0
Blankman,Blankman,82,ID,1
Blaze,Blaze,3,,0
Blazingflamez101,Blazingflamez101,18,AU,1
Bloh,Bloh,95,PL,1
blsde,Blsde,2,SE,0
Blue,Blue,3,,0
blueden,blueden,54,ID,1
bluegillcasting,bluegillcasting,35,PL,1
BlueKayakGenius2,BlueKayakGenius2,32,IT,0
BlueTroutChamp32,BlueTroutChamp32,95,AU,1
Bmays007,BMAYS007,110,US,1
bobt,BOBT,5,AU,0
bodyboardtuga,bodyboardtuga,51,PT,1
Boesergolf,,,,0
bolognatortoise,bolognatortoise,99,US,1
Bona,bona,4,,0
